frame,ID,x,y
22,548,51,1
23,420,47,1
24,463,34,1
25,623,29,1
0,584,463,1
1,605,446,1
2,597,428,1
3,465,371,1
4,461,328,1
5,579,329,1
6,136,311,1
7,326,296,1
8,212,274,1
9,503,246,1
10,486,226,1
11,592,237,1
12,81,209,1
13,367,203,1
14,442,191,1
15,397,174,1
16,30,166,1
17,166,147,1
18,87,122,1
19,200,95,1
20,370,75,1
21,418,47,1
22,83,42,1
23,466,36,1
24,623,29,1
0,584,462,1
1,605,446,1
2,597,428,1
3,464,372,1
4,123,342,1
5,465,325,1
6,579,329,1
7,139,309,1
8,326,297,1
9,214,280,1
10,505,250,1
11,488,230,1
12,592,237,1
13,363,208,1
14,80,209,1
15,443,188,1
16,396,176,1
17,24,165,1
18,161,149,1
19,87,125,1
20,201,93,1
21,370,75,1
22,83,42,1
23,415,44,1
24,471,39,1
25,623,29,1
0,584,463,1
1,605,446,1
2,597,428,1
3,464,372,1
4,123,342,1
5,468,323,1
6,579,328,1
7,141,306,1
8,326,299,1
9,217,285,1
10,506,253,1
11,488,233,1
12,592,236,1
13,359,214,1
14,80,208,1
15,446,183,1
16,395,177,1
17,22,164,1
18,156,149,1
19,85,125,1
20,203,90,1
21,370,75,1
22,548,51,1
23,83,42,1
24,476,41,1
25,413,43,1
26,623,29,1
0,584,463,1
1,606,446,1
2,596,428,1
3,464,372,1
4,579,328,1
5,479,313,1
6,147,302,1
7,326,302,1
8,225,294,1
9,508,262,1
10,488,241,1
11,348,224,1
12,592,235,1
13,78,205,1
14,392,180,1
15,452,176,1
16,21,164,1
17,148,151,1
18,82,122,1
19,209,83,1
20,370,75,1
21,548,51,1
22,483,45,1
23,83,42,1
24,409,39,1
25,623,29,1
0,584,463,1
1,605,446,1
2,597,428,1
3,465,371,1
4,579,329,1
5,482,309,1
6,326,304,1
7,229,299,1
8,149,299,1
9,509,264,1
10,488,245,1
11,343,228,1
12,592,237,1
13,77,204,1
14,391,181,1
15,454,173,1
16,22,164,1
17,145,151,1
18,80,122,1
19,211,80,1
20,370,75,1
21,487,47,1
22,83,42,1
23,408,39,1
24,623,29,1
0,583,463,1
1,606,446,1
2,597,428,1
3,126,343,1
4,579,329,1
5,233,304,1
6,490,304,1
7,327,305,1
8,151,296,1
9,510,265,1
10,488,249,1
11,337,232,1
12,592,236,1
13,77,203,1
14,390,182,1
15,457,169,1
16,26,164,1
17,143,152,1
18,77,122,1
19,370,75,1
20,214,76,1
21,492,51,1
22,83,42,1
23,407,37,1
24,622,29,1
0,584,463,1
1,605,446,1
2,597,428,1
3,464,372,1
4,128,344,1
5,579,328,1
6,237,307,1
7,326,310,1
8,494,298,1
9,152,294,1
10,510,266,1
11,488,253,1
12,330,235,1
13,592,237,1
14,76,203,1
